id,accuracy
origin_ave,0.14827586206896554
binary_ave,0.03103448275862069
origin_01,0.2
binary_01,0.1
origin_02,0.1
binary_02,0.1
origin_03,0.3
binary_03,0.0
origin_04,0.0
binary_04,0.1
origin_05,0.1
binary_05,0.0
origin_06,0.0
binary_06,0.0
origin_07,0.0
binary_07,0.0
origin_08,0.3
binary_08,0.0
origin_09,0.1
binary_09,0.0
origin_10,0.0
binary_10,0.0
origin_11,0.4
binary_11,0.0
origin_12,0.3
binary_12,0.0
origin_13,0.1
binary_13,0.0
origin_14,0.0
binary_14,0.0
origin_15,0.0
binary_15,0.0
origin_16,0.1
binary_16,0.1
origin_17,0.2
binary_17,0.0
origin_18,0.1
binary_18,0.1
origin_19,0.4
binary_19,0.0
origin_20,0.1
binary_20,0.2
origin_21,0.1
binary_21,0.0
origin_22,0.1
binary_22,0.0
origin_23,0.2
binary_23,0.0
origin_24,0.1
binary_24,0.0
origin_25,0.1
binary_25,0.0
origin_26,0.2
binary_26,0.0
origin_27,0.5
binary_27,0.1
origin_28,0.0
binary_28,0.0
origin_29,0.2
binary_29,0.1
